563,Male,0,-0.5,3,0,NO
686,Female,0.378497039,-0.5,3,0,NO
1538,Female,0.225750459,-0.5,3,0,NO
1040,Female,0.373493976,-0.5,3,0.439461883,NO
646,Female,0.559577292,2.5,6,0.322869955,NO
979,Female,0.834745763,2.5,6,0.421524664,NO
1504,Female,0.264090259,1.5,5,0.134529148,NO
362,Male,0.058964672,0.5,4,0,NO
899,Female,0.047171738,0.5,4,0.049327354,NO
1456,Male,0.689299571,0.5,4,0.766816143,YES
1429,Female,0.256636716,-0.5,3,0,NO
1468,Female,0.50214417,1.5,5,0.286995516,NO
637,Male,0.616397795,1.5,5,0.3632287,NO
1502,Female,0.372779253,-0.5,3,0.107623318,NO
541,Male,0.249336328,0.5,4,0,NO
1079,Male,0.1825097,1.5,5,0,NO
1325,Female,0.852971207,1.5,5,0.892376682,YES
417,Female,0.46104758,1.5,5,0.098654709,NO
458,Female,0.160608536,0.5,4,0,NO
648,Male,0.320706555,-0.5,3,0.143497758,NO
735,Male,0.625689197,-0.5,3,0.582959641,YES
282,Female,0.260567695,2.5,6,0,NO
837,Female,0.77578109,1.5,5,0.668161435,YES
1277,Female,0.552072698,-0.5,3,0.538116592,YES
1472,Male,0.255462528,-0.5,3,0.251121076,NO
467,Male,0.506228303,-0.5,3,0.717488789,YES
53,Female,0.276853175,1.5,5,0.049327354,NO
418,Female,0.026955279,-0.5,3,0,NO
1027,Male,0.040994486,2.5,6,0.049327354,NO
428,Female,0.628905452,1.5,5,0.695067265,YES
319,Male,0.217224832,0.5,4,0.107623318,NO
1158,Male,0.715131713,-0.5,3,0.618834081,YES
535,Female,0.331325301,-0.5,3,0.197309417,NO
741,Female,0.642842557,-0.5,3,0.65470852,YES
657,Male,0.632734327,1.5,5,0.65470852,NO
1469,Male,0.337502553,2.5,6,0,NO
114,Male,0.052787421,-0.5,3,0,NO
1315,Female,0.178017153,1.5,5,0,NO
1551,Male,0.431029202,0.5,4,0.071748879,NO
54,Female,0.597202369,1.5,5,0.421524664,NO
752,Male,0.162293241,-0.5,3,0,NO
1542,Male,0.013477639,-0.5,3,0,NO
375,Male,0.317030835,0.5,4,0.121076233,NO
1408,Female,0.190371656,1.5,5,0,NO
1488,Female,0.703338779,-0.5,3,0.618834081,NO
449,Male,0,-0.5,3,0,NO
1280,Male,0.176332448,0.5,4,0.098654709,NO
452,Female,0.523841127,-0.5,3,0.107623318,NO
554,Male,0.126914437,-0.5,3,0,NO
279,Male,0.060649377,-0.5,3,0,NO
545,Male,0.338064121,0.5,4,0,NO
445,Female,0.500357362,-0.5,3,0.197309417,YES
1506,Female,0.203849295,-0.5,3,0.049327354,NO
1107,Male,0.070757607,-0.5,3,0,NO
1473,Female,0.250051052,0.5,4,0.035874439,NO
1337,Male,0.550847458,0.5,4,0.448430493,YES
50,Male,0.247651623,0.5,4,0,NO
691,Female,0.418981009,-0.5,3,0.143497758,NO
1126,Male,0.451960384,1.5,5,0.35426009,YES
670,Female,0.013477639,2.5,6,0,NO
941,Female,0.786042475,-0.5,3,0.753363229,YES
584,Female,0.801051664,0.5,4,0.964125561,YES
1358,Female,0.842607719,0.5,4,0.766816143,YES
1139,Male,0.274606902,-0.5,3,0,NO
717,Female,0.39815193,-0.5,3,0.246636771,NO
1302,Male,0.217888503,-0.5,3,0,NO
1291,Female,0.037063508,1.5,5,0,NO
761,Female,0.411629569,-0.5,3,0,NO
33,Female,0.697876251,-0.5,3,0.802690583,YES
841,Female,0.474882581,0.5,4,0.264573991,NO
1116,Female,0.421635695,-0.5,3,0.206278027,NO
1256,Male,0.143199918,2.5,6,0,NO
451,Female,0.586022054,1.5,5,0.071748879,NO
1174,Female,0.193741066,1.5,5,0,NO
